Delta,Theta,Alpha ,Beta,Gamma
12.316732,11.912366,9.943917,22.098314,15.169348
12.343638,11.928507,9.935435,22.093442,15.170555
12.369276,11.942132,9.927388,22.0892,15.171654
12.393617,11.952898,9.919766,22.085617,15.172636
12.416405,11.960659,9.9126,22.082705,15.173497
12.437979,11.965225,9.905883,22.080481,15.174233
12.458717,11.966349,9.899571,22.078972,15.174836
12.477907,11.964148,9.893721,22.078172,15.175308
12.494136,11.958843,9.888398,22.078081,15.175647
12.506292,11.950589,9.883651,22.078721,15.175849
12.514202,11.939631,9.879557,22.08011,15.17591
12.518483,11.926323,9.876247,22.082282,15.175821
12.518782,11.910815,9.8738,22.085246,15.175582
12.513185,11.893119,9.872247,22.08899,15.175196
12.500074,11.873392,9.871668,22.09353,15.174661
12.478758,11.851727,9.872141,22.098867,15.173978
12.446538,11.828178,9.873727,22.105023,20.232898
12.421579,11.802814,9.876515,22.11201,15.172157
12.386702,11.775891,9.880653,22.119811,15.171023
12.346507,11.747434,9.886268,22.128436,15.169742
12.302281,11.717378,9.893508,22.137909,15.168313
12.254997,11.685752,9.902557,22.148241,15.166736
12.205478,11.652602,9.913665,22.159447,15.165014
12.15868,11.617941,9.927083,22.171532,15.163146
12.120985,11.581807,9.94314,22.184508,15.161136
12.084355,11.544243,9.962233,22.198397,15.158985
12.049706,11.505199,9.984836,22.213201,15.156693
12.017495,11.464592,10.011489,22.228926,15.154263
11.987615,11.42233,10.04274,22.245598,15.1517
11.959965,11.378215,10.079159,22.263244,15.149009
11.933965,11.332085,10.121495,22.281881,15.146193
11.908646,11.2838,10.170485,22.301516,15.143251
11.883423,11.233274,10.226291,22.322155,15.140182
11.857895,11.180697,10.286849,22.343819,15.136991
11.830978,11.126919,10.344672,22.366525,15.133684
11.802833,11.074,10.382334,22.390291,15.130263
11.782956,11.024747,10.376289,22.415137,15.126723
11.75088,10.979922,10.31931,22.441084,15.123055
11.700439,10.937155,10.229834,22.46815,15.119262
11.629152,10.893615,10.129899,22.496349,15.115348
11.53919,10.847691,10.031502,22.525696,15.111318
11.433796,10.798688,9.939089,22.556231,15.107164
11.315446,10.746337,9.853563,22.587993,15.102878
11.186467,10.690487,9.774465,22.621001,15.098462
11.05067,10.631014,9.701081,22.655302,15.093907
10.914536,10.56778,9.63269,22.690916,15.089215
10.786056,10.500612,9.568614,22.727885,15.084381
10.669405,10.429295,9.50828,22.766264,15.079395
10.561912,10.353609,9.451349,22.806045,15.074264
10.457208,10.273315,9.397565,22.847226,15.068989
10.350265,10.188103,9.346616,22.889865,15.063564
10.238711,10.097648,9.363721,22.934015,15.05798
10.121882,10.001483,9.413882,22.979606,15.052249
10.000576,9.89905,9.47131,23.026549,15.046383
9.879082,9.789788,9.53216,23.074796,15.040386
9.762476,9.673277,9.59227,23.124548,15.034231
9.651593,9.548947,9.649871,23.176131,15.027875
9.545132,9.416644,9.709716,23.229686,15.021298
9.439212,9.277153,9.775189,23.28524,15.014491
9.331227,9.132728,9.846749,23.342857,15.007438
9.220606,8.98835,9.925986,23.402497,15.000131
9.109245,8.851376,10.008601,23.46411,14.992557
9.022413,8.727367,10.095676,23.527639,14.984701
8.947633,8.614835,10.183939,23.592795,14.976556
8.871165,8.507136,10.269043,23.659164,14.968117
8.793254,8.398558,10.342651,23.726045,14.959388
8.714457,8.287078,10.395684,23.792328,14.950374
8.635411,8.175174,10.433653,23.856628,15.282998
8.557051,8.070481,10.464986,23.917291,14.931544
8.480499,7.984472,10.490308,23.972566,14.921766
8.406509,7.924541,10.506789,24.020914,14.911798
8.335464,7.887461,10.50931,24.061321,14.901694
8.320526,7.864781,10.491611,24.093531,14.891518
8.314679,7.850362,10.44613,24.118031,14.881354
8.310569,7.850737,10.362377,24.135894,14.871295
8.307339,7.872171,10.244467,24.148354,15.303712
8.303749,7.900154,10.090381,24.156476,18.855825
8.299025,7.938884,9.910891,24.161364,15.208409
8.292362,7.995005,9.805962,24.163958,15.306008
8.282574,8.079185,9.852807,24.165328,15.586283
8.267404,8.205498,9.96004,24.16617,15.840858
8.246678,8.376087,10.056324,24.166253,16.06422
8.249526,8.44267,10.00241,24.164593,16.252246
8.28028,8.376616,9.781973,24.160086,16.40164
8.304526,8.343469,9.685492,24.152088,16.511871
8.320742,8.347572,9.615067,24.140422,16.58722
8.336565,8.374331,9.547969,24.125345,16.632941
8.37256,8.408254,9.478978,24.107327,16.654145
8.445757,8.437375,9.401645,24.0871,16.654688
8.54024,8.466172,9.323204,24.065593,16.637646
8.640043,8.499952,9.250296,24.043373,16.606503
8.741367,8.538577,9.183777,24.020722,16.564266
8.842841,8.580367,9.122938,23.997789,16.513205
8.942562,8.623832,9.067078,23.974835,16.455072
9.03848,8.667621,9.016085,23.951919,16.391043
9.128616,8.7108,8.96957,23.92923,16.322332
9.211894,8.753,8.925843,23.907387,16.25103
9.290275,8.794082,8.883327,23.886995,16.179381
9.365462,8.834159,8.840776,23.868661,16.109925
9.440276,8.87344,8.797538,23.852939,16.045315
9.515149,8.911944,8.753535,23.840177,15.987581
9.590968,8.949412,8.709015,23.83064,15.938624
9.667275,8.985462,8.664123,23.824445,15.899657
9.742566,9.019244,8.619414,23.821753,15.872464
9.815601,9.049409,8.575843,23.822794,15.859522
